Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
CINEPOLIS PUNTO LOS MOCHIS,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,ANTONIO ROSALES,958,COLONIA,AMERICANA,81200,25,SINALOA,1,Ahome,1,Los Mochis                                                                                                    ,347,25.7864241,-109.0026961,2019-04
CINEPOLIS SENDERO CULIACÁN (GANADERA),EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,CALZADA,JOSÉ LIMÓN,2545,COLONIA,CANACO,80059,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,4312,24.82629889,-107.4253726,2020-04
CINEPOLIS SENDERO LOS MOCHIS,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,ANTONIO ROSALES,2300,COLONIA,CIUDAD UNIVERSITARIA UAS,81210,25,SINALOA,1,Ahome,1,Los Mochis                                                                                                    ,27,25.82026788,-108.979226,2019-04
CINEPOLIS VIP CULIACÁN,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,PEDRO INFANTE CRUZ (BOULEVAR CULIACAN),450,COLONIA,RECURSOS HIDRAULICOS,80100,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,2265,24.80144006,-107.4136177,2020-04
CINEPOLIS VIP LA CEIBA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,PEDRO INFANTE CRUZ (BOULEVAR CULIACAN),3000,COLONIA,RECURSOS HIDRAULICOS,80100,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,4882,24.79811799,-107.4222624,2023-11
CITICINEMAS GALERIAS SAN MIGUEL,GRUPO CINEMAS DEL PACIFICO,31 a 50 personas,BOULEVARD,CERRO MONTE LARGO,1880,COLONIA,COLINAS DE SAN MIGUEL,80228,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,3916,24.78737276,-107.3940124,2010-07
CITICINEMAS GUAMUCHIL,GRUPO CINEMAS DEL PACIFICO,11 a 30 personas,BOULEVARD,ANTONIO ROSALES,1042,COLONIA,MORELOS,81460,25,SINALOA,15,Salvador Alvarado,1,Guamúchil                                                                                                     ,215,25.45332221,-108.0735367,2022-11
CITICINEMAS LA ISLA,GRUPO CINEMAS DEL PACIFICO,51 a 100 personas,CALLE,CANCÚN,1555,FRACCIONAMIENTO,MUSALA,80060,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,1591,24.82307693,-107.3674745,2019-11
OFICINAS GRUPO CINEMAS DEL PACIFICO,GRUPO CINEMAS DEL PACIFICO,31 a 50 personas,BOULEVARD,FRANCISCO LABASTIDA OCHOA,164,COLONIA,TRES RÍOS,80027,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,108,24.81498552,-107.3987836,2014-12
106 CINEMEX GUAYMAS TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,LUIS ENCINAS JOHNSON,,COLONIA,SAN BENITO,85448,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,5433,29.08836583,-110.9654125,2010-07
